site,method,gate,tp,fp,fn,idsw,deta,assa,hota,loca,idf1,mota
synth_Town05_O_day,baseline,0.5,2008,4372,6973,81,0.15037819216655432,0.39360651009731756,0.24328961221848586,0.4219361348835634,0.21600156239828136,-0.27224139850796125
synth_Town05_O_day,seed0,0.5,2357,3762,6624,74,0.1849642941222632,0.47635055020491146,0.29682965362881647,0.39297268070207886,0.2662251655629139,-0.1646809932078832
synth_Town05_O_day,seed1,0.5,2263,3764,6718,68,0.17755982738328757,0.4352369708686026,0.2779938873757012,0.3894691606731938,0.2574626865671642,-0.17470214898118241
synth_Town05_O_day,seed2,0.5,2250,3681,6731,64,0.1776970462802085,0.45099788282820463,0.2830918431484728,0.37894574800325437,0.25979077253218885,-0.16646253201202543
synth_Town05_O_day,baseline,1.0,3368,3012,5613,130,0.28083048444926206,0.44130277578727817,0.35203873694970755,0.549851875509395,0.3370874292038279,0.02516423560850689
synth_Town05_O_day,seed0,1.0,3313,2806,5668,130,0.2810723678628998,0.4639453579479586,0.36111247599249924,0.5770967443994728,0.3433112582781457,0.0419775080725977
synth_Town05_O_day,seed1,1.0,3320,2707,5661,124,0.2840520191649555,0.4627976751184988,0.3625722191264199,0.5779094342775903,0.34541577825159914,0.05444827970159227
synth_Town05_O_day,seed2,1.0,3227,2704,5754,123,0.2761660248181429,0.43560718140913735,0.34684276505644035,0.5686515085388208,0.33261802575107297,0.04453847010355194
synth_Town05_O_day,baseline,1.5,3686,2694,5295,154,0.3157173447537473,0.4387484475939327,0.3721834156557558,0.6544152859431358,0.36039320356747606,0.09330809486694136
synth_Town05_O_day,seed0,1.5,3933,2186,5048,153,0.3521984418375571,0.4462322654885289,0.39643701719529545,0.6270502946662019,0.3903311258278146,0.17748580336265452
synth_Town05_O_day,seed1,1.5,4032,1995,4949,141,0.3673469387755102,0.4719470069721272,0.4163751773046459,0.6325553408850345,0.4168443496801706,0.21111234829083625
synth_Town05_O_day,seed2,1.5,4062,1869,4919,147,0.3743778801843318,0.4547363228142935,0.4126054054154322,0.5999736526764041,0.4164431330472103,0.22781427457966819
synth_Town05_O_day,baseline,2.0,4199,2181,4782,166,0.3761870632503136,0.4537687507707663,0.4131609053954864,0.6739978491921255,0.4133845452770002,0.20621311657944552
synth_Town05_O_day,seed0,2.0,4190,1929,4791,159,0.384051329055912,0.4557783577140593,0.4183805493029108,0.6867070981648606,0.4180132450331126,0.23404966039416542
synth_Town05_O_day,seed1,2.0,4200,1827,4781,148,0.38860103626943004,0.4777464136139124,0.4308744032828709,0.7026963583507696,0.43150319829424305,0.24774523995100772
synth_Town05_O_day,seed2,2.0,4195,1736,4786,156,0.3914341700102641,0.4614665470197964,0.42501032319250376,0.6836138311220905,0.4267703862660944,0.2564302416212003
