site,gate_summary,median_4m_perturbed_to_projection_to_final_m,projection_median_recovery_1_2_4m,final_chain_median_recovery_1_2_4m,interpretation
M6,accepted at 1/2/4 m,3.381->2.335->2.281,0.790 / 0.491 / 0.399,0.583 / 0.458 / 0.419,real-site partial fixed-drift recovery
M3,accepted at 1/2/4 m,3.573->0.872->0.850,0.996 / 0.993 / 0.992,1.025 / 1.011 / 1.000,strong positive fixed-drift recovery
Town04,accepted at 1/2/4 m,4.128->0.724->0.724,1.063 / 1.028 / 1.006,1.048 / 1.027 / 1.006,synthetic positive case
Town05,accepted at 1/2/4 m,4.205->0.633->0.548,0.963 / 0.988 / 0.996,1.116 / 1.043 / 1.020,positive after injection-time acceptance
