site,method,gate,tp,fp,fn,idsw,deta,assa,hota,loca,idf1,mota
lumpi_M6,baseline,0.5,7132,18881,44901,673,0.1005725244662549,0.28621487619443464,0.16966246679413483,0.4500377999726389,0.1509622530302642,-0.2387331116791267
lumpi_M6,seed0,0.5,8753,15608,43280,699,0.12940376398929643,0.35669759134426254,0.2148441549725369,0.44810868772966855,0.19527711600387465,-0.1451770991486172
lumpi_M6,seed1,0.5,8660,16167,43373,756,0.12697947214076247,0.35770257398829547,0.2131217586930668,0.4596603843569999,0.18881082487639864,-0.15880306728422355
lumpi_M6,seed2,0.5,8910,15558,43123,721,0.13182228403189775,0.3533748400784541,0.21583020765997613,0.4450303693724738,0.1971738931517235,-0.14162166317529268
lumpi_M6,baseline,1.0,13609,12404,38424,1288,0.2111985350031814,0.3456748014850094,0.2701962465711719,0.4973023223569515,0.25449094123978167,-0.0015951415447887918
lumpi_M6,seed0,1.0,14763,9598,37270,1255,0.23953854391458843,0.4098829853204376,0.3133413050956133,0.5310140604533138,0.3028510092415635,0.07514461976053655
lumpi_M6,seed1,1.0,15212,9615,36821,1304,0.24675577472099663,0.41647994266007476,0.32057578028734957,0.5311250484438261,0.30616705698672914,0.08250533315396003
lumpi_M6,seed2,1.0,15278,9190,36755,1281,0.24954673897064827,0.4149027820487325,0.321772646833305,0.5325208327356499,0.3104534581247304,0.0923836795879538
lumpi_M6,baseline,1.5,16839,9174,35194,1668,0.2751155913539301,0.3680397852163514,0.3182035247315308,0.5767803916044287,0.3037951977039182,0.11525378125420405
lumpi_M6,seed0,1.5,17452,6909,34581,1421,0.2960876794136609,0.40864513121791113,0.3478430516856737,0.6116126891424237,0.3376704976830641,0.17531182134414702
lumpi_M6,seed1,1.5,17483,7344,34550,1465,0.29444060831635144,0.4094341560376797,0.3472089312924228,0.6218012731379227,0.3332032266458496,0.16670190071685276
lumpi_M6,seed2,1.5,17444,7024,34589,1457,0.2953756540291583,0.40800447737352913,0.3471521126984986,0.6267897139293631,0.33453157475065687,0.17225606826437068
lumpi_M6,baseline,2.0,17826,8187,34207,1723,0.2960146130853537,0.3672778066483434,0.32972655008331786,0.6541673296206665,0.3142761960894857,0.1521342225126362
lumpi_M6,seed0,2.0,17954,6407,34079,1457,0.3072210814510609,0.40840149578786733,0.35421681101012065,0.6931308873276059,0.34185930832264316,0.1939153998424077
lumpi_M6,seed1,2.0,17945,6882,34088,1498,0.30459136043452434,0.40968416446296135,0.3532509830166857,0.7018278441013318,0.3373926619828259,0.18382564910729726
lumpi_M6,seed2,2.0,17949,6519,34084,1491,0.3065480256865692,0.407832861088092,0.3535821805134691,0.7044741621038206,0.34041385079933595,0.19101339534526163
