site,method,gate,tp,fp,fn,idsw,deta,assa,hota,loca,idf1,mota
lumpi_M3,baseline,0.5,3411,18779,12330,117,0.09881228273464658,0.40403409056674733,0.19980873552354322,0.4461598245432152,0.16150378318525743,-0.9837367384537197
lumpi_M3,seed0,0.5,3353,18150,12388,98,0.09893482045380779,0.4478522386843087,0.21049508503541822,0.433915263234275,0.16109977446031576,-0.9462550028587764
lumpi_M3,seed1,0.5,3341,18197,12400,109,0.09844422181625316,0.43901023912228726,0.20788944504173554,0.454056308967453,0.16073392526623567,-0.9507019884378376
lumpi_M3,seed2,0.5,3424,18101,12317,91,0.1011760534247385,0.45103411956092876,0.21362081400714777,0.4591523005887984,0.16690817367036978,-0.9381869004510515
lumpi_M3,baseline,1.0,6561,15629,9180,252,0.20914886834555307,0.4552708493401968,0.30857638103105195,0.5065877326974024,0.2885238986580897,-0.5920843656692714
lumpi_M3,seed0,1.0,6174,15329,9567,225,0.19871258448664306,0.44994463024917847,0.29901448184444385,0.5082465734498149,0.27419181613145743,-0.5958960675941809
lumpi_M3,seed1,1.0,6330,15208,9411,246,0.20453003328055833,0.4414642353883325,0.3004874286158273,0.5063863272084854,0.2789774403819845,-0.5796328060479004
lumpi_M3,seed2,1.0,6328,15197,9413,239,0.20453810847501455,0.44864692777104626,0.3029280343240227,0.5134432363839149,0.28132882520259755,-0.578616352201258
lumpi_M3,baseline,1.5,8573,13617,7168,305,0.2920158048913414,0.49138041275486677,0.3788018568307869,0.5600250439173605,0.365611241464765,-0.3398132266056795
lumpi_M3,seed0,1.5,8562,12941,7179,289,0.2985147479255282,0.4889520808932633,0.38204634165964074,0.5390103590744888,0.37289227795081087,-0.296550409757957
lumpi_M3,seed1,1.5,8611,12927,7130,306,0.30036975024417467,0.4852350397208695,0.38177208867422424,0.544105167963082,0.37248853241771507,-0.2936281049488596
lumpi_M3,seed2,1.5,8573,12952,7168,288,0.29878367546091383,0.48763516096728843,0.38170332154407666,0.5514212766286217,0.3719744539258305,-0.29648688139254187
lumpi_M3,baseline,2.0,9827,12363,5914,344,0.34966552803871337,0.5377823276940216,0.4336403366650967,0.6055164160582559,0.41654583322348476,-0.18296169239565474
lumpi_M3,seed0,2.0,9768,11735,5973,315,0.35551026350269327,0.5366680921325616,0.436796308188994,0.5936528957535689,0.42245730855976804,-0.14497172987739027
lumpi_M3,seed1,2.0,9777,11761,5964,337,0.3555014180786852,0.5348591724958708,0.43605411853882786,0.5991595835390007,0.4216314815311569,-0.14744933612858135
lumpi_M3,seed2,2.0,9741,11784,6000,319,0.3538964577656676,0.5370640499512044,0.43596452249123985,0.6031502079604912,0.42102720978908387,-0.1500539991106029
